City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
318,megion,0,RU,1532559600,82,61.04,76.11,62.6,6.71
319,xichang,20,CN,1532561746,84,27.88,102.25,60.23,1.95
320,chuy,92,UY,1532561746,95,-33.69,-53.46,56.63,25.43
321,saint-augustin,0,FR,1532561400,77,44.83,-0.61,69.8,3.36
322,eregli,0,TR,1532561747,77,37.51,34.05,60.5,2.84
323,cockburn town,0,TC,1532561747,97,21.46,-71.14,82.55,20.29
324,ilulissat,75,GL,1532559000,93,69.22,-51.1,39.2,5.41
325,miyako,40,JP,1532559600,78,33.63,130.94,86.0,2.24
326,warwick,90,US,1532561160,88,41.7,-71.42,78.8,12.75
327,horta,0,ES,1532559600,60,41.43,2.16,77.0,3.36
328,maceio,75,BR,1532559600,73,-9.67,-35.74,75.2,5.82
329,laguna verde,44,MX,1532561749,57,18.63,-100.0,81.38,2.62
330,mago,44,RU,1532561749,87,53.27,140.15,60.05,3.18
331,kang,0,BW,1532561750,73,-23.67,22.79,41.6,2.95
332,provideniya,64,RU,1532559600,87,64.42,-173.23,51.8,11.18
333,amlagora,92,IN,1532561751,99,22.83,87.35,75.08,6.98
334,micheweni,44,TZ,1532561751,98,-4.97,39.83,77.42,20.85
335,darlawn,92,IN,1532561751,98,24.02,92.93,70.76,1.83
336,celina,1,US,1532560500,61,40.55,-84.57,78.8,5.82
337,oistins,40,BB,1532559600,83,13.07,-59.53,80.6,16.11
338,olinda,0,EC,1532559600,69,-2.03,-79.75,78.8,8.05
339,saskylakh,12,RU,1532561752,75,71.97,114.09,56.0,9.89
340,turan,92,RU,1532561753,89,52.15,93.92,48.26,6.76
341,bela,12,PK,1532561753,94,26.23,66.31,73.1,2.17
342,rabaul,88,PG,1532561754,100,-4.2,152.17,77.78,5.3
343,saldanha,0,PT,1532561754,82,41.42,-6.55,62.48,3.85
344,lao cai,92,VN,1532561754,96,22.48,103.95,67.07,0.6
345,tuatapere,48,NZ,1532561755,100,-46.13,167.69,46.55,12.57
346,sangar,0,RU,1532561755,86,63.92,127.47,57.98,0.94
347,zilair,0,RU,1532561756,56,52.23,57.44,63.2,5.64
348,port macquarie,0,AU,1532559600,54,-31.43,152.91,53.6,8.05
349,tiksi,0,RU,1532561756,78,71.64,128.87,47.45,9.44
350,mattru,92,SL,1532561756,100,7.62,-11.83,72.83,4.41
351,krapivinskiy,0,RU,1532559600,82,55.0,86.81,55.4,8.95
352,altay,0,CN,1532561757,77,47.83,88.13,36.92,2.84
353,yining,0,CN,1532561757,77,29.04,114.56,84.26,3.4
354,wilmington,1,US,1532560500,100,39.75,-75.55,77.0,3.36
355,pyay,88,MM,1532561758,99,18.82,95.22,75.53,7.99
356,concordia,92,AR,1532561758,98,-31.4,-58.02,53.75,8.77
357,stranda,24,NO,1532560800,100,62.31,6.93,55.4,3.36
358,risor,0,NO,1532561759,57,58.72,9.23,62.3,6.98
359,xaghra,0,MT,1532558700,61,36.05,14.26,77.0,9.17
